date,distance_out,distance_fishing,distance_in,distance_total,time_out,time_fishing,time_in,time_total,num_strings
2024-03-12,5.836138651287369,9.429937251598407,5.441523025747365,20.70759892863314,0.9897222222222222,4.089722222222222,1.4997222222222222,6.579166666666667,6
2024-03-18,6.944811646794539,17.405634396060133,3.7979928071539675,28.148438850008638,1.149722222222222,6.829722222222223,1.3697222222222223,9.349166666666667,12
2024-03-21,3.5395606531881807,10.266856207879732,5.644048621911179,19.45046548297909,0.6597222222222222,4.879722222222222,2.096388888888889,7.635833333333333,9
2024-03-26,6.018181916364266,9.377000712804563,6.825789485052702,22.22097211422153,1.1197222222222223,4.529722222222222,1.779166666666666,7.428611111111111,7
2024-04-03,6.958614135130466,11.296324196474858,6.201067586832555,24.456005918437878,1.2697222222222222,5.129722222222222,1.6249999999999991,8.024444444444445,7
2024-04-05,7.403042379471231,10.898047347503017,3.9051105927077936,22.20620031968204,1.3497222222222225,4.419722222222222,1.2897222222222222,7.059166666666667,8
2024-04-09,5.338007063245206,11.778290781061,7.305128952825298,24.421426797131502,0.9197222222222222,6.229722222222223,2.2697222222222218,9.419166666666666,10
2024-04-12,3.6968663599447043,11.036452933298774,5.7911293632279275,20.524448656471407,0.6797222222222222,3.919722222222222,1.5597222222222227,6.159166666666667,6
2024-04-15,3.674820718852601,14.650461162951446,5.312783501814413,23.638065383618457,0.6697222222222222,5.879722222222222,1.7397222222222215,8.289166666666667,10
2024-04-16,6.182572468463799,9.045346790219458,9.9605095472611,25.18842880594436,0.9697222222222222,4.429722222222223,3.80611111111111,9.205555555555556,7
2024-04-22,3.5479496068774847,13.819023241748749,8.098907033005009,25.465879881631242,0.6597222222222222,5.339722222222222,2.607500000000001,8.606944444444444,9
2024-04-23,6.053058039571454,9.928992245550374,7.535804929151548,23.517855214273375,0.9797222222222222,4.8597222222222225,2.5197222222222218,8.359166666666667,8
2024-04-26,3.6791596466217387,3.757843550198721,6.274319055641955,13.711322252462415,0.7497222222222222,1.4997222222222222,1.7497222222222222,3.9991666666666665,3
2024-04-27,4.869248963193366,4.686627894418525,8.877038513046486,18.432915370658378,0.7797222222222222,2.269722222222222,1.9497222222222224,4.9991666666666665,4
2024-04-30,5.931028058579575,12.405288793848282,0.23533080611716042,18.571647658545018,1.0197222222222222,4.319722222222222,0.5597222222222227,5.899166666666667,6
2024-05-02,3.46238065923622,7.355584175738721,7.626287908242615,18.444252743217554,0.5897222222222221,2.9097222222222223,2.5297222222222224,6.029166666666667,5
2024-05-03,6.726580050112322,3.211071150855364,7.524235355106272,17.461886556073956,1.0497222222222222,1.809722222222222,1.7677777777777774,4.627222222222222,3
2024-05-09,7.027464575773285,8.731488681527548,6.730827177293937,22.48978043459477,1.2897222222222222,4.509722222222222,2.684722222222222,8.484166666666667,7
2024-05-10,5.808174572317263,3.4218182996371174,6.526668070675655,15.756660942630035,0.9597222222222221,1.7797222222222224,1.5597222222222222,4.299166666666666,3
