date,propulsion,propulsion_fit,idle,hydraulics,dc,total,total_fit,propulsion_kwh,propulsion_fit_kwh,hydraulics_kwh,dc_kwh,kwh,kwh_fit
2024-03-12,16.60176147290467,18.44123664410251,9.673936738733387,2.3313893835606647,1.1722365327032658,29.779324127901987,31.618799299099827,58.24560521938591,64.69921827769386,8.179444444444444,4.112673611111111,70.53772327494147,76.99133633324941
2024-03-18,21.655089956822316,24.054473924038227,14.149577096244563,3.8933553469813265,1.6660910895177616,41.364113489565966,43.76349745678188,75.97469838811504,84.3926949695182,13.659444444444446,5.8453124999999995,95.4794553325595,103.89745191396266
2024-03-21,14.006568045077827,15.55849578447245,10.555790589119411,2.7817372343279354,1.3604257991927977,28.70452166771797,30.256449407112594,49.14063090013373,54.58541280386854,9.759444444444444,4.772916666666666,63.672992011244844,69.11777391497965
2024-03-26,16.46158643497807,18.285530211973644,10.973510834038944,2.582216034620917,1.3235104184930366,31.340823722130967,33.16476749912654,57.75381524071342,64.15293796938447,9.059444444444445,4.643402777777777,71.45666246293564,77.85578519160669
2024-04-03,15.80680038781963,17.558193870790046,12.020596247970822,2.924252376975806,1.429654509110982,32.18130352187724,33.932697004847654,55.456564453910026,61.60115179540325,10.259444444444444,5.015798611111111,70.73180750946558,76.8763948509588
2024-04-05,22.419241770490334,24.903293758660666,12.471734112483988,2.519509371855854,1.4540008459799934,38.86448610081017,41.348538088980504,78.65564793309112,87.37069372407761,8.839444444444444,5.1012152777777775,92.59630765531334,101.31135344629983
2024-04-09,16.05203635002257,17.830601977605074,13.815400900308783,3.5513190046264373,1.678115804678676,35.09687205963646,36.87543768721897,56.316950086084134,62.55686815562224,12.459444444444445,5.8875,74.66389453052858,80.90381260006669
2024-04-12,14.084373555185644,15.644922145100214,9.168031108775125,2.2344790865601127,1.097614020511256,26.584497771032137,28.145046360946708,49.41360368275255,54.888630970801536,7.839444444444444,3.8508680555555554,61.103916182752556,66.57894347080153
2024-04-15,15.290249005661535,16.98440859548883,12.203464888524506,3.351797804919418,1.4772585255093333,32.32277022461479,34.016929814442086,53.64429604312645,59.58808404470487,11.759444444444444,5.182812500000001,70.5865529875709,76.53034098914931
2024-04-16,18.933486108145853,21.031316368928415,11.785744643604641,2.525209977561769,1.640062282214713,34.884503011526974,36.98233327230954,66.42622586052877,73.78625168587536,8.859444444444446,5.753993055555555,81.03966336052878,88.39968918587536
2024-04-22,19.40065408232521,21.550246554646844,12.20160835410262,3.043965096800018,1.533423347351463,36.17965088057931,38.329243352900946,68.06523756658181,75.60686588895908,10.679444444444444,5.379861111111111,84.12454312213737,91.66617144451463
2024-04-23,17.061325402502643,18.951720257099932,11.683635250402283,2.7703360229161063,1.4892832406702472,33.00457991649128,34.89497477108857,59.8579389021773,66.49019853253857,9.719444444444445,5.225,74.80238334662175,81.43464297698301
2024-04-26,17.564238844105617,19.510356508032515,9.60849390036281,0.8549325057287257,1.296590891548439,29.324256141745593,31.27037380567249,61.622359974419375,68.45011745958504,2.9994444444444444,4.548958333333333,69.17076275219716,75.99852023736283
2024-04-27,17.14024218292336,19.039381016791264,9.19495085789372,1.2938791450841671,2.3056772765746114,29.934749462475853,31.833888296343762,60.13481046457579,66.7977474640508,4.539444444444444,8.089236111111111,72.76349102013134,79.42642801960635
2024-04-30,12.711091950492301,14.119480938606848,8.855205058690846,2.4625033147967055,1.0515440212733504,25.080344345253202,26.48873333336775,44.59558371947581,49.53677439559374,8.639444444444443,3.689236111111111,56.92426427503137,61.865454951149296
2024-05-02,13.259077453919344,14.728183235813608,8.143688241511185,1.6587179102627159,1.0747027319536295,24.136186337646876,25.605292119541136,46.518135573425184,51.67234499496069,5.819444444444445,3.770486111111111,56.10806612898074,61.26227555051624
2024-05-03,15.166043873461968,16.846441534641556,6.643144295038632,1.0316512826120852,0.8244599971028372,23.665299448215524,25.34569710939511,53.20853486753528,59.10404053085818,3.6194444444444445,2.892534722222222,59.72051403420195,65.61601969752485
2024-05-09,14.651483256138965,16.274867600919162,11.291906487388633,2.5708148232090875,1.511551231708977,30.025755798445665,31.64914014322586,51.40325085433258,57.09873104899263,9.019444444444444,5.303125,65.72582029877702,71.42130049343707
2024-05-10,16.465413686748015,18.289781523239697,10.071699238619013,1.0145494654943408,2.091558171631092,29.64322056249246,31.46758839898414,57.76724276742686,64.16785326605776,3.559444444444445,7.338020833333333,68.66470804520463,75.06531854383553
