date,measured,propulsion,propulsion_fit,hydraulics,dc,total,total_fit,propulsion_kwh,propulsion_fit_kwh,hydraulics_kwh,dc_kwh,measured_kwh,kwh,kwh_fit
2023-10-23,107.22417783372046,95.28060866894228,103.89232390737254,3.712731797259273,1.5386028141494132,100.53194328035096,109.14365851878122,280.44324933703956,311.52853730179163,13.401666666666666,5.553819444444444,327.11500699914944,299.39873544815066,330.48402341290273
2023-10-24,92.75712693959647,75.61491618812603,81.99276392393898,3.821237203596287,1.5812642926161384,81.01741768433845,87.3952654201514,207.69664268814122,230.71844821398514,13.793333333333333,5.7078125,272.1936007987527,227.19778852147454,250.21959404731845
2023-10-26,100.52438340122556,87.5207278833235,95.22422871659634,3.8450930021526517,1.576550848546534,92.94237173402269,100.64587256729553,250.86695799145272,278.6739087682697,13.879444444444445,5.690798611111111,300.4041816626426,270.4372010470083,298.2441518238253
2023-10-30,83.02805527655502,64.69959914616243,70.0147291451825,3.218070271064716,1.4651115637580314,69.38278098098517,74.69791098000525,173.0889011427268,192.27466634921183,11.616111111111111,5.288541666666666,241.09717941618842,189.99355392050458,209.1793191269896
2023-10-31,89.49741645312128,73.04536429895113,79.21073147625748,3.645166019412537,1.524173903732257,78.21470422209593,84.38007139940228,200.77714563108304,223.03197046083824,13.157777777777778,5.501736111111111,261.7249803481923,219.43665951997193,241.69148434972712
2023-11-01,109.82044468774889,98.14768274318276,107.10681175192863,3.637932325656736,1.5152279792736205,103.30084304811311,112.25997205685898,291.75688940922436,324.0962198956089,13.131666666666666,5.469444444444445,338.4521285262727,310.35800052033545,342.69733100672
2023-11-06,101.47976796157357,90.0790349463025,98.15697079072068,3.639317501056783,1.504839163773268,95.22319161113255,103.30112745555073,263.0605533767879,292.21908392874604,13.136666666666667,5.4319444444444445,308.3497592384652,281.629164487899,310.78769503985717
2023-11-07,107.40776535446261,97.67356954952413,106.54175319737985,3.8024603815067612,1.5455286911496484,103.02155862218054,111.88974227003625,288.7952247682072,320.806274226474,13.725555555555555,5.578819444444445,329.8910821245507,308.0995997682072,340.110649226474
2023-11-13,88.36150572387425,81.91752983896467,89.16510404618487,3.484639581384869,1.446209691111557,86.8483791114611,94.0959533186813,236.01956221379237,262.18077691257474,12.578333333333333,5.2203124999999995,264.2004891299155,253.81820804712572,279.97942274590804
2023-11-15,97.42573064446024,90.44485315591803,98.58320441246236,3.629005639745322,1.4891597477866252,95.56301854344997,103.70136979999431,265.02800051334566,294.4046096282213,13.099444444444444,5.3753472222222225,294.5262116496657,283.5027921800123,312.87940129488794
2023-11-16,84.2752619836341,74.26989196126473,80.60950488580512,3.6051498411889575,1.493776999120115,79.36881880157381,85.7084317261142,206.45151388230005,229.33530507699396,13.013333333333334,5.392013888888889,246.39274081253987,224.85686110452227,247.74065229921618
2023-11-20,94.93411234599435,83.5951082573497,90.97744027558902,3.4929506337851515,1.486610640279594,88.57466953141444,95.95700154965377,240.40799324633537,267.05563663499544,12.608333333333334,5.366145833333333,285.3969693656024,258.382472413002,285.03011580166213
2023-11-21,97.6169250350992,85.7328316877074,93.55029746304618,3.086786424815817,1.330201251357622,90.14981936388084,97.96728513921961,254.57826262456985,282.7965870875714,11.14222222222222,4.8015625,300.7382877071466,270.5220473467921,298.74037180979366
2023-11-27,90.6522226069265,79.08230071826952,85.9741074003117,3.42923256538299,1.478963317758501,83.99049660141101,90.88230328345318,224.4338794540693,249.31089749022698,12.378333333333334,5.338541666666666,269.70290614476426,242.1507544540693,267.027772490227
2023-11-29,66.93716207349937,55.23730634557255,60.13282265787416,1.5355438851409764,0.9685165635675755,57.7413667942811,62.63688310658271,159.42404779917013,177.0951539714843,5.542777777777778,3.496006944444445,202.93930696388492,168.46283252139236,186.13393869370654
2023-11-30,85.42201208946791,74.69146329448043,81.38287689754296,2.629986359555879,1.2530065806258366,78.57445623466215,85.26586983772468,217.90801501734083,242.0616839419966,9.493333333333334,4.522916666666666,258.80619715339947,231.92426501734084,256.0779339419966
2023-12-04,83.80536763836685,72.24158338289057,78.84621802243781,2.115162835871749,1.1071783926764458,75.46392461143876,82.068559250986,215.08203043372134,238.92245757140805,7.635,3.996527777777778,260.2806802375417,226.7135582114991,250.5539853491858
2023-12-05,68.18190074878649,61.47542024847137,66.94708943356295,1.4662851151386267,1.0595148919317732,64.00122025554177,69.47288944063335,178.1866495906267,197.9374666528773,5.292777777777777,3.824479166666667,206.77151376560218,187.30390653507115,207.05472359732175
2023-12-06,62.64577261650332,54.406437476461804,59.33856552223354,0.6882782654455695,0.8669370342307965,55.961652776138166,60.8937808219099,160.61632055946797,178.41958231824748,2.4844444444444447,3.129340277777778,194.34080789651912,166.2301052816902,184.0333670404697
