date,propulsion,propulsion_fit,idle,hydraulics,dc,total,total_fit,kwh,kwh_fit
2024-03-05,31.990252915533087,32.219029937832595,29.925478346042926,0,3.1905577560292024,35.18081067156229,35.409587693861795,18.43780326734941,19.240444369371723
2024-03-06,20.297669434062158,20.529311942620687,18.20703307523066,0,1.94117500548287,22.238844439545026,22.470486948103556,14.14520341279189,14.957897784262563
2024-03-07,34.348760059234756,37.0705939463237,9.783472269623408,0,1.0430821846786333,35.39184224391339,38.11367613100233,89.84438249331753,99.39366208746598
2024-03-08,4.435429960128605,4.759432532361538,1.5112190193981605,0,0.16112128627134256,4.596551246399947,4.9205538186328805,10.824576847335765,11.96130718424279
2024-03-09,4.071688325603759,4.251816353711215,2.445984100807219,0,0.2607829172757909,4.33247124287955,4.512599270987006,6.618549815206313,7.250510829175617
2024-03-10,3.0896699524679914,3.2578255093955066,1.5720205217142411,0,0.16760374588483942,3.2572736983528308,3.425429255280346,5.912540749450564,6.502497556156353
2024-03-11,16.407856467374287,17.8089363537011,3.7627311395150143,0,0.4011702296688496,16.809026697043137,18.21010658336995,45.771611756945674,50.68715918683748
2024-03-15,2.9988800949456853,3.175643774925025,1.4035400229299868,0,0.1496408997802641,3.1485209947259496,3.3252846747052893,6.122089692979147,6.742247230961237
2024-03-16,14.092661771867935,15.281033040902422,3.3672893076577566,0,0.3590094999688545,14.451671271836789,15.640042540871276,38.88843584701227,43.057716552750115
2024-03-20,3.02190687816183,3.2323860838338296,1.12227505801743,0,0.11965333851477467,3.141560216676605,3.3520394223486045,7.08445825875664,7.822903317160209
2024-03-22,17.331478138288606,17.935968764823343,11.875786563065335,0,1.266157970462175,18.59763610875078,19.202126735285518,23.58293098121486,25.703725358933465
2024-03-23,20.339501498448648,21.461849039799162,10.210011053046907,0,1.0885583708221724,21.42805986927082,22.550407410621336,39.35739251211257,43.29503563023242
2024-03-27,38.12482813751523,40.09382313829168,20.354115134117603,0,2.1700899533610123,40.294918090876244,42.2639130916527,69.96029539832406,76.8683157117917
2024-04-07,8.794746132223892,9.242498875974148,4.753656387185491,0,0.5068194760414897,9.301565608265381,9.749318352015637,15.955880675490608,17.52677600433497
2024-04-08,3.701913307772394,3.9147123008956033,1.7813447777795268,0,0.1899212213480997,3.891834529120494,4.104633522243703,7.404440370787857,8.151024169426707
2024-04-10,16.65797032591574,17.285802823479752,10.991612044652097,0,1.1718901417315524,17.829860467647293,18.457692965211304,23.99130469907778,26.193991676402263
2024-04-18,2.5164332479907348,2.6987788693290056,0.8707146438547141,0,0.09283278041923793,2.609266028409973,2.7916116497482433,6.09953213480938,6.739273350901815
2024-04-24,11.95427120941999,12.1770537607469,9.94359836350927,0,1.0601543111416596,13.014425520561648,13.237208071888558,10.773687272796835,11.55529737817828
2024-05-04,12.378306578783793,12.664682848162077,9.793683208943666,0,1.0441708420183042,13.422477420802096,13.70885369018038,12.731258392746833,13.735980642107627
2024-05-06,9.677727831492257,9.926278351388262,7.43449209235864,0,0.792641512129719,10.470369343621977,10.718919863517982,10.651069054340578,11.523083477783738
2024-05-08,3.1793985267628972,3.4063507130336674,1.1310935965212892,0,0.12059354258085438,3.2999920693437517,3.526944255614522,7.60936147740252,8.405600326320942
2024-05-11,25.624762273469052,27.350304401883925,10.051277359977444,0,1.0716346976327378,26.69639697110179,28.421939099516663,58.397722873040436,64.4516133451511
