Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SWE;SWE000005132;;MOD;2024-02-15;2100-12-31;SFB9053;GG1025;SYLVIA;SEDON;Donsö;SFB9053;Y;Y;N;N;N;N;265776110;FX;OTB;FPO;;;;;8.50;0.00;3.38;0.00;0.00;51.47;0.00;3;1987-09-01;MFL;;;PA;1982-01-01
SWE;SWE000005136;;MOD;2022-05-13;2100-12-31;SFB9057;SD408;No name;SEEDK;Edsvik;SFB9057;Y;Y;N;N;;N;;FX;FPO;LTL;;;;;7.40;0.00;4.03;0.00;0.00;22.06;0.00;1;1987-09-03;MFL;;;PA;1987-01-01
SWE;SWE000005141;;MOD;2022-12-21;2100-12-31;SFB9078;SD514;VANÖ;SEHBG;Hamburgsund;SFB9078;Y;Y;N;N;N;Y;265773890;FX;FPO;NO;;;;;9.65;0.00;7.62;0.00;0.00;94.12;0.00;3;1987-09-14;MFL;;;PA;1987-01-01
SWE;SWE000005142;;MOD;2023-06-28;2100-12-31;SFB9080;SD426;VALEN;SEHAV;Havstenssund;SFB9080;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;6.90;0.00;1.21;0.00;0.00;31.00;0.00;3;1987-09-15;MFL;;;PA;1982-01-01
SWE;SWE000005179;;MOD;2020-11-30;2100-12-31;SFB9147;GE56;No name;799;;SFB9147;Y;Y;N;N;;N;;FX;GNS;FPO;;;;;5.40;0.00;0.35;0.00;0.00;18.38;0.00;3;1987-11-27;MFL;;;PA;1978-01-01
SWE;SWE000005203;;MOD;2022-05-03;2100-12-31;SFB9179;HA76;HARU 2;SENIA;Nikkala;SFB9179;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;5.40;0.00;0.39;0.00;0.00;11.03;0.00;3;1987-12-30;MFL;;;PA;1975-01-01
SWE;SWE000005212;;MOD;2017-12-01;2100-12-31;SFB9190;GG439;ULRIKA;521;;SFB9190;Y;N;N;;;;;FX;FPO;FPO;;;;;7.50;0.00;3.91;0.00;0.00;44.12;0.00;3;1988-01-12;MFL;;;PA;1985-01-01
SWE;SWE000005222;;MOD;2021-11-12;2100-12-31;SFB9204;HA110;SARVI;SENIA;Nikkala;SFB9204;Y;Y;N;N;;N;;FX;FPO;NO;;;;;6.10;0.00;1.28;0.00;0.00;36.77;0.00;3;1988-01-19;MFL;;;PA;1982-01-01
SWE;SWE000005225;;MOD;2020-05-07;2100-12-31;SFB9212;VK112;ANN SINE;822;;SFB9212;Y;Y;N;N;;N;;FX;FPO;NO;;;;;9.72;0.00;4.84;0.00;0.00;41.18;0.00;1;1988-01-21;MFL;;;PA;1962-01-01
SWE;SWE000005231;;MOD;2023-11-06;2100-12-31;SFB9223;GG97;No name;SEMSD;Marstrand;SFB9223;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;6.10;0.00;0.97;0.00;0.00;29.00;0.00;3;1988-02-17;MFL;;;PA;1968-01-01
