Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SWE;SWE000005993;;MOD;2020-05-07;2100-12-31;SFC2362;GE104;INGEGÄRD;108;Greece;SFC2362;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;6.05;0.00;0.75;0.00;0.00;36.00;0.00;3;1989-10-10;MFL;;;PA;1985-01-01
SWE;SWE000005996;;MOD;2022-02-01;2100-12-31;SFC2371;SD209;BREA;SEBRI;Brevik", Tanum;SFC2371;Y;Y;N;N;;Y;265504320;FX;TBN;OTB;;;;;10.99;0.00;12.35;0.00;0.00;175.00;0.00;3;1989-10-24;MFL;;;PA;1989-01-01
SWE;SWE000006001;;MOD;2024-02-07;2100-12-31;SFC2381;LÅ8;SANN;SESTB;Storbrändön;SFC2381;Y;Y;N;N;N;Y;265032510;FX;PTB;FPO;;;;;10.71;0.00;9.98;0.00;0.00;275.74;0.00;3;1989-11-09;MFL;;;PA;1989-01-01
SWE;SWE000006015;;MOD;2013-10-28;2100-12-31;SFC2399;SD93;MÅSEN;748;;SFC2399;Y;Y;N;;;;;FX;FPO;LTL;;;;;10.00;0.00;7.26;0.00;0.00;165.44;0.00;3;1989-12-01;MFL;;;PA;1989-01-01
SWE;SWE000006016;;MOD;2020-11-30;2100-12-31;SFC2400;SIN1;No name;417;;SFC2400;Y;Y;N;N;;N;;FX;FPO;NO;;;;;6.10;0.00;0.75;0.00;0.00;13.24;0.00;3;1989-12-01;MFL;;;PA;1981-01-01
SWE;SWE000006020;;MOD;2020-07-06;2100-12-31;SFC2404;GG1226;CLIPPFJORD;587;;SFC2404;Y;Y;N;N;;Y;266424000;FX;OTB;OTM;;;;;9.99;0.00;7.01;0.00;0.00;138.00;0.00;3;1989-12-12;MFL;;;PA;1989-01-01
SWE;SWE000006024;;MOD;2014-02-27;2100-12-31;SFC2408;SIN131;CARIN;428;;SFC2408;Y;Y;N;;;;;FX;FPO;NO;;;;;5.10;0.00;0.16;0.00;0.00;5.15;0.00;1;1989-12-12;MFL;;;PA;1968-01-01
SWE;SWE000006025;;MOD;2014-02-27;2100-12-31;SFC2409;SIN132;CAROLINA;428;;SFC2409;Y;Y;N;;;;;FX;FPO;LHP;;;;;6.50;0.00;0.64;0.00;0.00;13.24;0.00;1;1989-12-12;MFL;;;PA;1963-01-01
SWE;SWE000006028;;MOD;2020-11-30;2100-12-31;SFC2413;HA136;No name;902;;SFC2413;Y;Y;N;N;;N;;FX;GNS;NO;;;;;6.10;0.00;0.46;0.00;0.00;52.00;0.00;3;1989-12-12;MFL;;;PA;1974-01-01
SWE;SWE000006035;;MOD;2020-05-07;2100-12-31;SFC2426;SN31;FISHERMAN;811;;SFC2426;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;5.10;0.00;0.25;0.00;0.00;22.06;0.00;3;1990-01-23;MFL;;;PA;1989-01-01
SWE;SWE000006073;;MOD;2023-04-14;2100-12-31;SFC2492;HA137;No name;SESET;;SFC2492;Y;Y;N;N;N;N;;FX;FPO;GNS;;;;;6.05;0.00;1.36;0.00;0.00;45.00;0.00;3;1990-03-21;MFL;;;PA;1975-01-01
SWE;SWE000006082;;MOD;2020-11-30;2100-12-31;SFC2520;GG876;No name;589;;SFC2520;Y;Y;N;N;;N;;FX;SB;FPO;;;;;5.60;0.00;0.44;0.00;0.00;29.41;0.00;3;1990-04-24;MFL;;;PA;1980-01-01
SWE;SWE000006087;;MOD;2023-10-03;2100-12-31;SFC2525;KA18;HOA;SEUNR;Ungskär;SFC2525;Y;Y;N;N;N;N;;FX;GNS;LHP;;;;;5.75;0.00;0.71;0.00;0.00;11.03;0.00;3;1990-04-24;MFL;;;PA;1979-01-01
SWE;SWE000006096;;MOD;2024-04-29;2100-12-31;SFC2545;HG152;No name;SEVEH;Vegeholm;SFC2545;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;6.20;0.00;1.83;0.00;0.00;51.47;0.00;3;1990-05-30;MFL;;;PA;1990-01-01
SWE;SWE000006102;;MOD;2021-09-03;2100-12-31;SFC2555;SD13;ALMA II;SEHBG;Hamburgsund;SFC2555;Y;Y;N;N;;N;;FX;DRH;NO;;;;;6.30;0.00;1.43;0.00;0.00;147.06;0.00;2;1990-05-30;MFL;;;PA;1990-01-01
SWE;SWE000006118;;MOD;2024-02-15;2100-12-31;SFC2607;GG386;KALFEN;SEKVS;Kalvsund;SFC2607;Y;Y;N;N;N;Y;265830870;FX;GNS;GNS;;;;;9.80;0.00;7.16;0.00;0.00;86.03;0.00;3;1990-08-07;MFL;;;PA;1990-01-01
SWE;SWE000006119;;MOD;2023-02-13;2100-12-31;SFC2609;VG199;TINA;SENNS;Norra Näs;SFC2609;Y;Y;N;N;N;N;;FX;FPO;NO;;;;;5.80;0.00;1.15;0.00;0.00;74.00;0.00;3;1990-08-07;MFL;;;PA;1990-01-01
SWE;SWE000006132;;MOD;2020-11-30;2100-12-31;SFC2631;SG14;No name;361;;SFC2631;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.80;0.00;2.16;0.00;0.00;43.38;0.00;3;1990-08-20;MFL;;;PA;1979-01-01
SWE;SWE000006133;;MOD;2005-12-02;2100-12-31;SFC2632;SD26;CORNELIA;684;;SFC2632;Y;Y;N;;;;;FX;FPO;FPO;;;;;7.95;0.00;3.46;0.00;0.00;62.50;0.00;3;1990-08-21;MFL;;;PA;1990-01-01
SWE;SWE000006149;;MOD;2023-07-19;2100-12-31;SFC2667;SM289;No name;SEGR2;Gräsö;SFC2667;Y;Y;N;N;N;N;;FX;GNS;GNS;;;;;8.85;0.00;3.30;0.00;0.00;84.56;0.00;3;1990-09-13;MFL;;;PA;1976-01-01
SWE;SWE000006169;;MOD;2022-02-10;2100-12-31;SFC2709;SD141;EMELIE;SEFJA;Fjällbacka;SFC2709;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;8.60;0.00;4.90;0.00;0.00;62.50;0.00;3;1990-12-11;MFL;;;PA;1990-01-01
SWE;SWE000006170;;MOD;2023-11-16;2100-12-31;SFC2710;HA52;SVALLGRUND;SEKXN;Kalix-Nyborg;SFC2710;Y;Y;N;N;N;N;;FX;FPO;GNS;;;;;6.60;0.00;1.63;0.00;0.00;58.82;0.00;3;1990-12-12;MFL;;;PA;1987-01-01
SWE;SWE000006173;;MOD;2024-03-08;2100-12-31;SFC2721;LÅ51;No name;SESTB;Storbrändön;SFC2721;Y;N;N;N;N;N;;FX;FPO;GNS;;;;;6.60;0.00;0.72;0.00;0.00;33.09;0.00;3;1990-12-21;MFL;;;PA;1987-01-01
SWE;SWE000006187;;MOD;2022-05-20;2100-12-31;SFC2747;SD777;ASPÖ;SEHAV;Havstenssund;SFC2747;Y;Y;N;N;;Y;265760710;FX;FPO;FPO;;;;;8.25;0.00;4.47;0.00;0.00;118.00;0.00;3;1991-02-21;MFL;;;PA;1984-01-01
SWE;SWE000006192;;MOD;2020-11-30;2100-12-31;SFC2755;SN8;No name;800;;SFC2755;Y;Y;N;N;;N;;FX;GNS;OTB;;;;;10.37;0.00;8.01;0.00;0.00;161.76;0.00;3;1991-03-13;MFL;;;PA;1991-01-01
SWE;SWE000006193;;MOD;2020-11-30;2100-12-31;SFC2756;KR115;No name;297;;SFC2756;Y;Y;N;N;;N;;FX;FPO;NO;;;;;5.85;0.00;1.68;0.00;0.00;19.85;0.00;1;1991-03-05;MFL;;;PA;1980-01-01
SWE;SWE000006196;;MOD;2022-06-24;2100-12-31;SFC2759;VK108;ZARITZA;SEVVK;Västervik;SFC2759;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;9.85;0.00;9.93;0.00;0.00;66.18;0.00;1;1991-03-06;MFL;;;PA;1944-01-01
SWE;SWE000006197;;MOD;2023-06-15;2100-12-31;SFC2760;YD24;DELFIN;SEABB;Abbekås;SFC2760;Y;Y;N;N;N;N;;FX;FPO;GNS;;;;;6.30;0.00;3.14;0.00;0.00;14.71;0.00;3;1991-03-07;MFL;;;PA;1986-01-01
SWE;SWE000006217;;MOD;2018-05-10;2100-12-31;SFC2804;UÅ10;KARIN;882;;SFC2804;Y;N;N;;;;;FX;FPO;FPO;;;;;6.00;0.00;0.47;0.00;0.00;25.74;0.00;3;1991-05-17;MFL;;;PA;1975-01-01
SWE;SWE000006226;;MOD;2023-11-06;2100-12-31;SFC2824;SD8;RÖSKÄR;SESMD;Strömstad;SFC2824;Y;Y;Y;N;N;Y;265328000;FX;FPO;FPO;;;;;8.40;0.00;3.73;0.00;0.00;47.00;0.00;3;1991-05-29;MFL;;;PA;1990-01-01
SWE;SWE000006229;;MOD;2014-01-21;2100-12-31;SFC2828;SD433;INGVOR;649;;SFC2828;Y;Y;N;;;;;FX;FPO;LTL;;;;;6.90;0.00;3.81;0.00;0.00;26.47;0.00;3;1991-05-30;MFL;;;PA;1990-01-01
SWE;SWE000006240;;MOD;2011-12-07;2100-12-31;SFC2855;GG3;ANNIKA;518;;SFC2855;Y;Y;N;;;;;FX;FPO;FPO;;;;;5.48;0.00;0.42;0.00;0.00;36.77;0.00;3;1991-06-25;MFL;;;PA;1991-01-01
SWE;SWE000006242;;MOD;2020-11-30;2100-12-31;SFC2858;SM147;No name;127;Greece;SFC2858;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;5.00;0.00;0.16;0.00;0.00;18.38;0.00;1;1991-07-01;MFL;;;PA;1969-01-01
SWE;SWE000006265;;MOD;2020-06-16;2100-12-31;SFC2887;LL474;SUNNANSKÄR;595;;SFC2887;Y;Y;N;N;;N;;FX;GND;FPO;;;;;8.40;0.00;3.38;0.00;0.00;94.85;0.00;3;1991-07-23;MFL;;;PA;1989-01-01
SWE;SWE000006266;;MOD;2024-04-23;2100-12-31;SFC2890;KA179;No name;SESEN;Senoren;SFC2890;Y;Y;N;N;N;N;;FX;LHP;GNS;;;;;5.92;0.00;2.05;0.00;0.00;22.06;0.00;3;1991-07-30;MFL;;;PA;1980-01-01
SWE;SWE000006271;;MOD;2022-02-24;2100-12-31;SFC2898;HA140;No name;SESRO;Storön;SFC2898;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;6.00;0.00;1.36;0.00;0.00;47.79;0.00;3;1991-08-09;MFL;;;PA;1991-01-01
SWE;SWE000006275;;MOD;2023-06-28;2100-12-31;SFC2904;GE96;No name;SEKBK;Karlholmsbruk;SFC2904;Y;Y;N;N;N;N;;FX;GNS;GNS;;;;;6.05;0.00;0.64;0.00;0.00;62.50;0.00;3;1991-08-19;MFL;;;PA;1976-01-01
SWE;SWE000006286;;MOD;2013-04-11;2100-12-31;SFC2922;SD253;NORDVÅG;672;;SFC2922;Y;Y;N;;;;;FX;FPO;FPO;;;;;8.60;0.00;5.05;0.00;0.00;92.65;0.00;3;1991-09-20;MFL;;;PA;1991-01-01
SWE;SWE000006294;;MOD;2018-02-05;2100-12-31;SFC2938;SD391;MARIKA;591;;SFC2938;Y;Y;N;;;;;FX;FPO;OTB;;;;;10.63;0.00;9.64;0.00;0.00;110.29;0.00;3;1991-10-18;MFL;;;PA;1987-01-01
SWE;SWE000006305;;MOD;2024-04-29;2100-12-31;SFC2977;GG289;NJORD;SEBJH;Björholmen;SFC2977;Y;Y;N;N;N;N;;FX;FPO;GND;;;;;6.75;0.00;1.43;0.00;0.00;102.94;0.00;2;1991-12-19;MFL;;;PA;1991-01-01
SWE;SWE000006312;;MOD;2023-01-29;2100-12-31;SFC3009;GG343;HAVET;SERNG;Rönnäng;SFC3009;Y;Y;N;N;N;N;;FX;FPO;GND;;;;;7.90;0.00;3.06;0.00;0.00;80.90;0.00;3;1992-02-06;MFL;;;PA;1984-01-01
SWE;SWE000006317;;MOD;2024-01-27;2100-12-31;SFC3017;KA103;VICTORIA;SEAPO;Aspö", Karlskrona;SFC3017;Y;N;N;N;N;N;;FX;GNS;GNS;;;;;9.67;0.00;9.00;0.00;0.00;75.00;0.00;3;1992-02-05;MFL;;;PA;1991-01-01
SWE;SWE000006322;;MOD;2019-01-29;2100-12-31;SFC3022;SD425;EMMA;596;;SFC3022;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;7.60;0.00;2.85;0.00;0.00;51.47;0.00;3;1992-02-13;MFL;;;PA;1991-01-01
SWE;SWE000006354;;MOD;2021-06-11;2100-12-31;SFC3069;GE35;No name;SENOT;Norrsundet;SFC3069;Y;Y;N;N;;N;;FX;GNS;FPO;;;;;9.01;0.00;4.78;0.00;0.00;110.00;0.00;3;1992-04-28;MFL;;;PA;1992-01-01
SWE;SWE000006367;;MOD;2014-12-02;2100-12-31;SFC3090;TG44;CARLA;475;;SFC3090;Y;Y;N;;;;;FX;GNS;GNS;;;;;9.75;0.00;10.27;0.00;0.00;198.53;0.00;3;1992-05-21;MFL;;;PA;1991-01-01
SWE;SWE000006387;;MOD;2024-03-08;2100-12-31;SFC3130;LÅ54;No name;SESTB;Storbrändön;SFC3130;Y;N;N;N;N;N;;FX;FPO;GNS;;;;;6.75;0.00;0.84;0.00;0.00;33.09;0.00;3;1992-07-08;MFL;;;PA;1992-01-01
SWE;SWE000006388;;MOD;2023-09-24;2100-12-31;SFC3131;LÅ17;JUNKÖN;SELOS;Lövskär;SFC3131;Y;Y;N;N;N;Y;265039150;FX;PTB;FPO;;;;;11.61;0.00;12.62;0.00;0.00;257.00;0.00;3;1992-07-08;MFL;;;PA;1992-01-01
SWE;SWE000006398;;MOD;2016-09-04;2100-12-31;SFC3148;GG1225;MIDAS;520;;SFC3148;Y;Y;N;;;;;FX;OTB;FPO;;;;;8.90;0.00;3.69;0.00;0.00;90.44;0.00;3;1992-08-04;MFL;;;PA;1991-01-01
SWE;SWE000006412;;MOD;2023-06-28;2100-12-31;SFC3170;GE31;NORRSKÄR;SENOT;Norrsundet;SFC3170;Y;Y;N;N;N;N;;FX;GNS;FPO;;;;;8.00;0.00;5.31;0.00;0.00;94.00;0.00;3;1992-09-17;MFL;;;PA;1989-01-01
SWE;SWE000006446;;MOD;2023-02-22;2100-12-31;SFC3270;LL117;ANNA-MALIN;SEMLO;Mollösund;SFC3270;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;7.95;0.00;2.05;0.00;0.00;136.00;0.00;3;1993-02-08;MFL;;;PA;1990-01-01
SWE;SWE000006452;;MOD;2020-11-30;2100-12-31;SFC3448;PÅ2;No name;908;;SFC3448;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;7.00;0.00;2.01;0.00;0.00;29.41;0.00;1;1993-02-25;MFL;;;PA;1986-01-01
SWE;SWE000006461;;MOD;2024-02-08;2100-12-31;SFC3671;MÖ165;ANKIE;SELOM;Lomma;SFC3671;Y;Y;N;N;N;N;265057020;FX;GNS;GNS;;;;;11.99;0.00;17.76;0.00;0.00;127.94;0.00;1;1993-03-26;MFL;;;PA;1957-01-01
SWE;SWE000006468;;MOD;2011-10-11;2100-12-31;SFC3748;UÅ16;STORFISKARN 2;893;;SFC3748;Y;Y;N;;;;;FX;FPO;GNS;;;;;5.70;0.00;0.57;0.00;0.00;29.41;0.00;3;1993-05-17;MFL;;;PA;1993-01-01
SWE;SWE000006506;;MOD;2020-05-07;2100-12-31;SFC3944;GG215;VIKEN;689;;SFC3944;Y;Y;N;N;;N;;FX;GND;FPO;;;;;8.10;0.00;3.47;0.00;0.00;95.59;0.00;3;1993-10-21;MFL;;;PA;1985-01-01
SWE;SWE000006515;;MOD;2023-01-24;2100-12-31;SFC3971;LL60;MARINA II;SEBKA;Bokenäs;SFC3971;Y;Y;N;N;N;N;;FX;SB;FPO;;;;;6.50;0.00;1.25;0.00;0.00;30.00;0.00;3;1993-12-02;MFL;;;PA;1988-01-01
SWE;SWE000006518;;CHA;2013-09-13;2100-12-31;SFC3979;GG165;SANNA;732;;SFC3979;Y;Y;N;;;;;FX;GND;FPO;;;;;4.79;0.00;0.15;0.00;0.00;22.06;0.00;3;1993-12-16;MFL;;;PA;1985-01-01
SWE;SWE000006541;;MOD;2016-01-07;2100-12-31;SFC4049;SG55;SANNE-MARIE;370;;SFC4049;Y;Y;N;;;;;FX;GNS;GNS;;;;;9.50;0.00;6.00;0.00;0.00;94.88;0.00;1;1994-04-28;MFL;;;PA;1978-01-01
SWE;SWE000006548;;MOD;2023-05-29;2100-12-31;SFC4071;GG346;VÅGEN;SEDYR;Dyrön;SFC4071;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;8.40;0.00;3.29;0.00;0.00;148.00;0.00;3;1994-06-03;MFL;;;PA;1994-01-01
SWE;SWE000006549;;MOD;2023-10-10;2100-12-31;SFC4079;LL13;HÖKEN;SEFIT;Fisketången;SFC4079;Y;Y;N;N;N;Y;265622550;FX;OTB;TBN;;;;;11.98;0.00;24.00;0.00;0.00;155.00;0.00;3;1994-06-13;MFL;;;PA;1983-01-01
SWE;SWE000006551;;MOD;2023-11-16;2100-12-31;SFC4096;HA64;SVALLGRUND;SESRO;Storön;SFC4096;Y;Y;N;N;N;Y;265032490;FX;PTB;GNS;;;;;11.00;0.00;9.26;0.00;0.00;149.00;0.00;2;1994-06-28;MFL;;;PA;1978-01-01
SWE;SWE000006554;;MOD;2023-07-13;2100-12-31;SFC4103;SD359;TALITA;SESYK;Syd-Koster;SFC4103;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;7.85;0.00;2.48;0.00;0.00;47.79;0.00;3;1994-07-08;MFL;;;PA;1988-01-01
SWE;SWE000006572;;MOD;2024-01-23;2100-12-31;SFDA;VG104;TÄRNAN BÅTFJORDEN;SEBUA;Bua;SFDA;Y;Y;Y;Y;N;Y;266169000;FX;OTB;NO;;;;;15.73;0.00;68.00;0.00;0.00;272.00;0.00;2;1992-12-29;MFL;;;PA;1992-01-01
SWE;SWE000006595;;MOD;2022-11-17;2100-12-31;SFIT;VY15;JANE;SEHEK;Herrvik;SFIT;Y;Y;Y;Y;;Y;266360000;FX;GTR;GNS;;;;;13.43;0.00;17.00;0.00;0.00;170.00;0.00;2;1976-01-01;MFL;;;PA;1975-01-01
SWE;SWE000006695;6909985;MOD;2023-05-10;2100-12-31;SGCF;VY242;VESTLAND;SEKPH;Kappelshamn;SGCF;Y;Y;Y;Y;N;Y;265754000;FX;OTB;OTM;;;;;35.00;0.00;256.00;0.00;0.00;660.00;150.00;2;1976-01-01;MFL;;;PA;1968-01-01
SWE;SWE000006727;;MOD;2022-11-17;2100-12-31;SGLF;SD191;SILVERÖN;SESMD;Strömstad;SGLF;Y;Y;Y;Y;;Y;266410000;FX;TBN;OTB;;;;;13.83;0.00;29.00;0.00;0.00;177.00;0.00;1;1976-01-01;MFL;;;PA;1949-01-01
SWE;SWE000006742;5050397;MOD;2024-05-02;2100-12-31;SGNM;GG578;SVANVIK;SEFOT;Fotö;SGNM;Y;N;Y;Y;N;Y;265716000;FX;OTB;NO;;;;;32.06;0.00;221.00;0.00;31.00;705.00;140.00;2;1976-01-01;MFL;;;PA;1961-01-01
SWE;SWE000006767;;MOD;2024-02-05;2100-12-31;SFE2780;HA30;VILMA AV STORÖN;SESRO;Storön;SFE2780;Y;Y;Y;Y;N;Y;266398000;FX;PTB;GNS;;;;;13.99;0.00;19.00;0.00;0.00;202.00;0.00;2;2019-02-05;MFL;;;PA;1979-01-01
SWE;SWE000006770;;MOD;2023-05-05;2100-12-31;SGUM;GG200;GLITTFORS;SEBOB;Bohus-Björkö;SGUM;Y;Y;Y;Y;N;Y;266145000;FX;TBN;OTB;;;;;17.09;0.00;73.00;0.00;0.00;354.00;25.74;2;1994-02-15;MFL;;;PA;1981-01-01
SWE;SWE000006796;;MOD;2023-12-07;2100-12-31;SHAN;SIN59;KUNGSÖ;SESIM;Simrishamn;SHAN;Y;Y;Y;Y;N;Y;266185000;FX;OTB;NO;;;;;15.53;0.00;39.00;0.00;0.00;175.00;0.00;1;1978-09-06;MFL;;;PA;1958-01-01
SWE;SWE000006810;;MOD;2022-11-17;2100-12-31;SHEP;SM28;RIZONA;SEMOJ;Möja;SHEP;Y;Y;Y;Y;;N;266368000;FX;GNS;LHP;;;;;13.13;0.00;25.00;0.00;0.00;175.00;0.00;1;1976-01-01;MFL;;;PA;1950-01-01
SWE;SWE000006814;;MOD;2024-03-18;2100-12-31;SHFQ;LL467;GULLBRIS;SESMO;Smögen;SHFQ;Y;Y;Y;Y;N;Y;266144000;FX;OTB;OTB;;;;;16.57;0.00;37.00;0.00;0.00;280.00;0.00;1;1976-01-01;MFL;;;PA;1957-01-01
SWE;SWE000006821;;MOD;2023-11-06;2100-12-31;SHIL;SD476;VALARÖ;SESMD;Strömstad;SHIL;Y;Y;Y;Y;N;Y;266409000;FX;TBN;NO;;;;;13.02;0.00;24.00;0.00;0.00;255.00;3.68;1;1978-11-06;MFL;;;PA;1978-01-01
SWE;SWE000006904;;MOD;2022-11-17;2100-12-31;SIBX;LL425;VIKEFJORD;SEUGN;Ulebergshamn;SIBX;Y;Y;Y;Y;;Y;266156000;FX;OTB;OTB;;;;;16.72;0.00;54.00;0.00;0.00;291.00;0.00;1;1976-01-01;MFL;;;PA;1960-01-01
SWE;SWE000006905;;MOD;2024-02-08;2100-12-31;SFC9886;MÖ172;BUFFI;SESNR;Skanör;SFC9886;Y;Y;N;N;N;N;265519720;FX;GNS;GNS;;;;;11.89;0.00;15.81;0.00;0.00;190.00;0.00;3;2012-09-14;MFL;;;PA;1979-01-01
SWE;SWE000006912;6725004;MOD;2022-11-17;2100-12-31;SIDC;GG850;ODESKÄR;SEVGO;Vrångö;SIDC;Y;Y;Y;Y;;Y;265759000;FX;OTM;NO;;;;;38.61;0.00;307.00;0.00;0.00;736.00;294.12;2;1979-06-14;MFL;;;PA;1967-01-01
SWE;SWE000006922;;MOD;2023-10-25;2100-12-31;SFE3819;GG50;MODE;SEFIS;Fiskebäck;SFE3819;Y;Y;Y;Y;N;Y;265027000;FX;OTB;OTM;;;;;16.03;0.00;47.00;0.00;0.00;383.00;0.00;1;2020-02-07;MFL;;;PA;1979-01-01
SWE;SWE000006927;;MOD;2024-03-26;2100-12-31;SIFQ;VG86;ATLAS AV TRÄSLÖVSLÄGE;SETRE;Träslövsläge;SIFQ;Y;Y;Y;Y;N;Y;266365000;FX;FPO;FPO;;;;;12.73;0.00;21.00;0.00;0.00;198.00;0.00;1;1989-03-17;MFL;;;PA;1979-01-01
SWE;SWE000006932;;MOD;2022-11-17;2100-12-31;SIGC;SD47;BRATTSKÄR;SENOK;Nord-Koster;SIGC;Y;Y;Y;Y;;Y;266411000;FX;OTB;OTB;;;;;12.50;0.00;17.91;18.00;0.00;199.00;0.00;2;1979-07-18;MFL;;;PA;1979-01-01
SWE;SWE000006942;;MOD;2022-11-17;2100-12-31;SIHW;VY183;ANNE-RITA;SESYE;Sysne;SIHW;Y;Y;Y;Y;;Y;266358000;FX;GNS;GNS;;;;;14.98;0.00;27.00;0.00;0.00;221.00;27.94;1;1979-10-15;MFL;;;PA;1974-01-01
SWE;SWE000006955;;MOD;2023-02-17;2100-12-31;SIKR;SD748;ODDERÖ;SENOK;Nord-Koster;SIKR;Y;Y;Y;Y;N;Y;266164000;FX;OTB;NO;;;;;16.58;0.00;43.00;0.00;0.00;256.00;0.00;1;1976-01-01;MFL;;;PA;1966-01-01
SWE;SWE000006967;;MOD;2023-02-06;2100-12-31;SIMH;LL470;STARLET;SESMO;Smögen;SIMH;Y;Y;Y;Y;N;Y;266157000;FX;OTB;TBN;;;;;17.23;0.00;57.00;0.00;0.00;239.00;5.15;1;1976-01-01;MFL;;;PA;1964-01-01
SWE;SWE000006970;;MOD;2022-11-17;2100-12-31;SIMW;SD562;KRAGERÖ;SERES;Resö;SIMW;Y;Y;Y;Y;;Y;266359000;FX;OTB;TBN;;;;;14.42;0.00;30.02;22.00;0.00;206.00;0.00;1;1979-09-28;MFL;;;PA;1961-01-01
SWE;SWE000006985;;MOD;2022-11-17;2100-12-31;SIRU;SIN37;LINZY;SESIM;Simrishamn;SIRU;Y;Y;Y;Y;;Y;266367000;FX;OTB;OTM;;;;;14.78;0.00;45.00;0.00;0.00;298.00;0.00;2;1997-12-16;MFL;;;PA;1997-01-01
SWE;SWE000007000;;MOD;2024-04-16;2100-12-31;SJFR;GG20;BLACK PEARL;SEKKS;Kyrkesund;SJFR;Y;Y;Y;Y;N;N;266407000;FX;OTB;NO;;;;;13.85;0.00;26.00;0.00;0.00;175.00;0.00;2;1980-06-24;MFL;;;PA;1980-01-01
SWE;SWE000007033;;MOD;2022-11-17;2100-12-31;SJUA;SD623;DAGNY;SESMD;Strömstad;SJUA;Y;Y;Y;Y;;Y;266361000;FX;OTB;NO;;;;;12.00;0.00;19.20;17.00;0.00;91.91;0.00;1;1976-01-01;MFL;;;PA;1933-01-01
SWE;SWE000007060;7400314;MOD;2022-11-17;2100-12-31;SKBH;FG111;TUNAFJORD;SEFIS;Fiskebäck;SKBH;Y;Y;Y;Y;;Y;265769000;FX;OTB;NO;;;;;25.91;0.00;200.00;0.00;0.00;746.00;80.00;2;1981-03-23;MFL;;;PA;1977-01-01
SWE;SWE000007061;;MOD;2023-04-11;2100-12-31;SKBU;GG704;TIMOR;SEHNO;Hönö;SKBU;Y;Y;Y;Y;N;Y;266064000;FX;OTB;OTB;;;;;18.88;0.00;59.00;0.00;0.00;294.00;0.00;2;1981-04-14;MFL;;;PA;1981-01-01
SWE;SWE000007075;;MOD;2022-11-17;2100-12-31;SKJZ;VG45;WESTLAND;SETRE;Träslövsläge;SKJZ;Y;Y;Y;Y;;Y;266166000;FX;OTB;NO;;;;;17.85;0.00;86.00;0.00;0.00;310.00;0.00;1;1983-09-01;MFL;;;PA;1983-01-01
SWE;SWE000007085;;MOD;2023-03-27;2100-12-31;SKOQ;VG1;FALKEN AV TRÄSLÖVSLÄGE;SETRE;Träslövsläge;SKOQ;Y;Y;Y;Y;N;N;266394000;FX;OTB;NO;;;;;12.48;0.00;17.00;0.00;0.00;191.00;0.00;2;1984-01-04;MFL;;;PA;1983-01-01
SWE;SWE000007088;;MOD;2023-10-30;2100-12-31;SKPF;VG350;ALTHEA;SETRE;Träslövsläge;SKPF;Y;Y;Y;Y;N;Y;266163000;FX;OTB;NO;;;;;16.81;0.00;39.00;0.00;0.00;300.00;0.00;3;1984-12-20;MFL;;;PA;1983-01-01
SWE;SWE000007095;8568709;MOD;2024-02-02;2100-12-31;SKRM;VG40;NORDVÅG;SETRE;Träslövsläge;SKRM;Y;N;Y;Y;N;Y;265722000;FX;OTB;NO;;;;;25.77;0.00;124.00;0.00;0.00;588.24;22.06;1;1976-01-01;MFL;;;PA;1962-01-01
SWE;SWE000007102;;MOD;2023-04-13;2100-12-31;SKVF;GG705;HAMNESKÄR;SERNG;Rönnäng;SKVF;Y;Y;Y;Y;N;Y;266158000;FX;OTB;OTB;;;;;14.99;0.00;34.00;0.00;0.00;215.00;0.00;3;1983-10-26;MFL;;;PA;1983-01-01
SWE;SWE000007104;8321527;MOD;2022-11-17;2100-12-31;SKWE;GG201;BRAVIK;SESTR;Sandvik", Styrsö;SKWE;Y;Y;Y;Y;;Y;265770000;FX;OTB;NO;;;;;27.78;0.00;225.00;0.00;0.00;810.00;117.65;2;1984-01-03;MFL;;;PA;1983-01-01
